Constraint, #error, Parser, Type, Linker, Spec1Added, FeatureEffect, FeatureEffect_Build, Spec2Added, CodeAdded
__UCLIBC_HAS_FENV__ => __UCLIBC_HAS_FLOATS__,,,,,,,,,,
__UCLIBC_HAS_THREADS_NATIVE__ <=> __UCLIBC_HAS_TLS__,,,,,,,,,,
__UCLIBC_HAS_WORDEXP__ => __UCLIBC_HAS_GLOB__,,,,,,,,,,
__UCLIBC_FORMAT_FLAT__ => !(__ARCH_USE_MMU__),,,,,,,,,,
__USE_OLD_VFPRINTF__ => !(__UCLIBC_HAS_WCHAR__),,,1,1,1,,,,1,
__DOPIC__ => !(__HAVE_NO_PIC__),,,,,,,,,,
__TARGET_x86_64__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_SOCKET__,,,,,,,,,,
__LDSO_CACHE_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,
__ARCH_HAS_NO_LDSO__ <=> __ARCH_HAS_NO_SHARED__,,,,,,,,,,
__DO_C99_MATH__ => __UCLIBC_HAS_FLOATS__,,,,1,1,,,,1,
__CONFIG_CRIS__ => __ARCH_HAS_MMU__,,,,,,,,,,
__UCLIBC_BUILD_PIE__ => __FORCE_SHAREABLE_TEXT_SEGMENTS__,,,,,,,,,,
__UCLIBC_FORMAT_FDPIC_ELF__ => !(__ARCH_USE_MMU__),,,,,,,,,,
__UCLIBC_HAS_THREADS_NATIVE__ => !(__CONFIG_386__),,,,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => __ARCH_HAS_NO_LDSO__,,,,,,,,,,
__UCLIBC_HAS_STDIO_PUTC_MACRO__ => !(__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),,,1,,1,,,,1,
__UCLIBC_HAS_SSP_COMPAT__ => __UCLIBC_HAS_SSP__,,,,,,,,,,
__UCLIBC_HAS_REGEX_OLD__ => __UCLIBC_HAS_REGEX__,,,,,,,1,1,1,
__UCLIBC_HAS_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT__,,,,,,,,,,
__UCLIBC_UCLINUX_BROKEN_MUNMAP__ => !(__ARCH_USE_MMU__),,,,,,,,,,
__LDSO_SEARCH_INTERP_PATH__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_HAS_LOCALE__,,,,,,,,,,
