Constraint, #error, Parser, Type, Linker, Spec1Added, FeatureEffect, FeatureEffect_Build, Spec2Added, CodeAdded, Spec1Combined, Spec2Combined, CodeCombined
__ARCH_USE_MMU__ => __ARCH_HAS_MMU__,,,,,,,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => !(__UCLIBC_HAS_FPU__),,,,,,,,,,,,,
__LDSO_LDD_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_CACHE_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_PRELOAD_ENV_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_PRELOAD_FILE_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_STANDALONE_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_PRELINK_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,,,,
__UCLIBC_STATIC_LDCONFIG__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_RUNPATH__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_SEARCH_INTERP_PATH__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_LD_LIBRARY_PATH__ => __HAVE_SHARED__,,,,,,,,,,,,,
__LDSO_NO_CLEANUP__ => __HAVE_SHARED__,,,,,,,,,,,,,
__UCLIBC_HAS___PROGNAME__ => __UCLIBC_HAS_PROGRAM_INVOCATION_NAME__,,,,,,,,,,,,,
__ASSUME_DEVPTS__ => __UCLIBC_HAS_PTY__,,,,,,,,,,,,,
__UNIX98PTY_ONLY__ => __UCLIBC_HAS_PTY__,,,,,,,,,,,,,
__UCLIBC_HAS_TZ_FILE_READ_MANY__ => __UCLIBC_HAS_TZ_FILE__,,,,,,1,,1,1,,1,1,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ => __UCLIBC_HAS_TZ_FILE__,,,,,,1,,1,1,,1,1,
__UCLIBC_HAS_ADVANCED_REALTIME__ => __UCLIBC_HAS_REALTIME__,,,,,,,,,,,,,
__UCLIBC_HAS_SHA256_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,,,,,,1,,1,1,,1,1,
__UCLIBC_HAS_SHA512_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,,,,,,1,,1,1,,1,1,
__UCLIBC_HAS_CRYPT_STUB__ => !(__UCLIBC_HAS_CRYPT_IMPL__),,,,,,,,,,,,,
__UCLIBC_HAS_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT__,,,,,,,,,,,,,
__UCLIBC_HAS_SOCKET__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_IPV6__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_FULL_RPC__ => __UCLIBC_HAS_RPC__,,,,,,,1,1,1,,1,,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_RPC__,,,,,,,,,,,,1,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_SUPPORT_AI_ADDRCONFIG__ => __UCLIBC_USE_NETLINK__,,,,,,,,,,,,,
__UCLIBC_HAS_BSD_RES_CLOSE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_COMPAT_RES_STATE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_EXTRA_COMPAT_RES_STATE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_RESOLVER_SUPPORT__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_LIBRESOLV_STUB__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_LIBNSL_STUB__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_CTYPE_SIGNED__ => __UCLIBC_HAS_CTYPE_TABLES__,,,,,,,,,,,,1,
__UCLIBC_HAS_CTYPE_UNSAFE__ => __UCLIBC_HAS_CTYPE_TABLES__,,,,,,1,,1,1,,1,1,
__UCLIBC_HAS_CTYPE_CHECKED__ => __UCLIBC_HAS_CTYPE_TABLES__,,,,,,1,,1,1,,1,1,
__UCLIBC_HAS_CTYPE_ENFORCED__ => __UCLIBC_HAS_CTYPE_TABLES__,,,,,,,,,,,,1,
__UCLIBC_BUILD_ALL_LOCALE__ => __UCLIBC_HAS_LOCALE__,,,,,,,,,,,,,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __UCLIBC_HAS_LOCALE__,,,,,,,,,,,,,
__UCLIBC_PREGENERATED_LOCALE_DATA__ => __UCLIBC_HAS_LOCALE__,,,,,,,,,,,,,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_GLIBC_DIGIT_GROUPING__,,,,,,,,,,,,,
__UCLIBC_HAS_SYS_ERRLIST__ => __UCLIBC_HAS_ERRNO_MESSAGES__,,,,,,,,,,,,,
__UCLIBC_HAS_SYS_SIGLIST__ => __UCLIBC_HAS_SIGNUM_MESSAGES__,,,,,,,,,,,,,
__UCLIBC_HAS_REGEX_OLD__ => __UCLIBC_HAS_REGEX__,,,,,,,1,1,1,,1,,
__UCLIBC_HAS_FNMATCH_OLD__ => __UCLIBC_HAS_FNMATCH__,,,,,,,1,1,1,,1,,
__UCLIBC_HAS_GNU_GLOB__ => __UCLIBC_HAS_GLOB__,,,,,,,1,1,1,,1,,
__UCLIBC_HAS_SSP_COMPAT__ => __UCLIBC_HAS_SSP__,,,,,,,,,,,,,
__SSP_QUICK_CANARY__ => __UCLIBC_HAS_SSP__,,,,,,1,,1,1,,1,1,
__PROPOLICE_BLOCK_ABRT__ => __UCLIBC_HAS_SSP__,,,,,,,,,,,,,
__PROPOLICE_BLOCK_SEGV__ => __UCLIBC_HAS_SSP__,,,,,,,,,,,,,
__UCLIBC_BUILD_SSP__ => __UCLIBC_HAS_SSP__,,,,,,,,,,,,,
