Code Constraint, Found
(definedEx(__UCLIBC_HAS_IPV4__) || definedEx(__UCLIBC_HAS_IPV6__)),0
(!definedEx(__UCLIBC_SUSV4_LEGACY__) || !definedEx(__UCLIBC_HAS_CTYPE_TABLES__) || !definedEx(__UCLIBC_HAS_XLOCALE__) || (definedEx(__UCLIBC_HAS_LOCALE__) && definedEx(__UCLIBC_HAS_CTYPE_TABLES__) && definedEx(__UCLIBC_HAS_XLOCALE__) && definedEx(__UCLIBC_SUSV4_LEGACY__))),1
(definedEx(__UCLIBC_HAS_RESOLVER_SUPPORT__) || (!definedEx(__UCLIBC_HAS_IPV4__) && !definedEx(__UCLIBC_HAS_IPV6__))),0
((!definedEx(__UCLIBC_HAS_IPV4__) && !definedEx(__UCLIBC_HAS_IPV6__)) || ((!definedEx(__UCLIBC_HAS_CTYPE_TABLES__) || !definedEx(__UCLIBC_HAS_IPV6__) || definedEx(__UCLIBC_HAS_IPV4__) || !definedEx(__UCLIBC_HAS_XLOCALE__) || !definedEx(__UCLIBC_SUSV4_LEGACY__)) && (!definedEx(__UCLIBC_SUSV4_LEGACY__) || !definedEx(__UCLIBC_HAS_CTYPE_TABLES__) || !definedEx(__UCLIBC_HAS_XLOCALE__) || !definedEx(__UCLIBC_HAS_IPV4__))) || (definedEx(__UCLIBC_HAS_LOCALE__) && definedEx(__UCLIBC_HAS_CTYPE_TABLES__) && definedEx(__UCLIBC_HAS_XLOCALE__) && definedEx(__UCLIBC_SUSV4_LEGACY__))),1
definedEx(__UCLIBC_HAS_RESOLVER_SUPPORT__),0
((!definedEx(__UCLIBC_HAS_IPV4__) && !definedEx(__UCLIBC_HAS_IPV6__)) || ((!definedEx(__UCLIBC_HAS_THREADS__) || ((definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || definedEx(__UCLIBC_HAS_XLOCALE__)) && (definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || definedEx(__UCLIBC_HAS_LOCALE__) || !definedEx(__UCLIBC_HAS_XLOCALE__))) || !definedEx(__UCLIBC_HAS_IPV6__) || definedEx(__UCLIBC_HAS_IPV4__)) && (!definedEx(__UCLIBC_HAS_THREADS__) || ((definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || definedEx(__UCLIBC_HAS_XLOCALE__)) && (definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || definedEx(__UCLIBC_HAS_LOCALE__) || !definedEx(__UCLIBC_HAS_XLOCALE__))) || !definedEx(__UCLIBC_HAS_IPV4__))) || (!definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_THREADS__) && (!definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__LINUXTHREADS_NEW__) || definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__)))),1
((!definedEx(__UCLIBC_HAS_IPV4__) && !definedEx(__UCLIBC_HAS_IPV6__)) || ((!definedEx(__UCLIBC_HAS_THREADS__) || ((!definedEx(__LINUXTHREADS_OLD__) || definedEx(__UCLIBC_HAS_XLOCALE__)) && (!definedEx(__UCLIBC_HAS_XLOCALE__) || definedEx(__UCLIBC_HAS_LOCALE__) || !definedEx(__LINUXTHREADS_OLD__))) || !definedEx(__UCLIBC_HAS_IPV6__) || definedEx(__UCLIBC_HAS_IPV4__)) && (!definedEx(__UCLIBC_HAS_THREADS__) || ((!definedEx(__LINUXTHREADS_OLD__) || definedEx(__UCLIBC_HAS_XLOCALE__)) && (!definedEx(__UCLIBC_HAS_XLOCALE__) || definedEx(__UCLIBC_HAS_LOCALE__) || !definedEx(__LINUXTHREADS_OLD__))) || !definedEx(__UCLIBC_HAS_IPV4__))) || (((!definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__LINUXTHREADS_NEW__) && !definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS__)) || (definedEx(__LINUXTHREADS_OLD__) && !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_THREADS__))) && (definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__LINUXTHREADS_NEW__) || !definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__)))),1
((!definedEx(__UCLIBC_HAS_IPV4__) && !definedEx(__UCLIBC_HAS_IPV6__)) || ((!definedEx(__UCLIBC_HAS_IPV6__) || !definedEx(__UCLIBC_HAS_THREADS__) || definedEx(__UCLIBC_HAS_IPV4__)) && (!definedEx(__UCLIBC_HAS_IPV4__) || !definedEx(__UCLIBC_HAS_THREADS__))) || ((definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__LINUXTHREADS_NEW__) || !definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__)) && (!definedEx(__UCLIBC_HAS_THREADS__) || (definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_TLS__)) || !definedEx(__LINUXTHREADS_NEW__)) && ((definedEx(__UCLIBC_HAS_THREADS__) && (!definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__UCLIBC_HAS_TLS__))) || (definedEx(__UCLIBC_HAS_THREADS__) && definedEx(__LINUXTHREADS_NEW__)) || (definedEx(__LINUXTHREADS_OLD__) && !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_THREADS__)) || (!definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_THREADS__))) && (!definedEx(__UCLIBC_HAS_THREADS__) || (definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_TLS__)) || !definedEx(__LINUXTHREADS_OLD__) || definedEx(__UCLIBC_HAS_THREADS_NATIVE__)) && (!definedEx(__UCLIBC_HAS_THREADS__) || (definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_TLS__)) || definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS_NATIVE__)) && (!definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__LINUXTHREADS_NEW__) || definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__)))),0
((!definedEx(__UCLIBC_HAS_IPV4__) && !definedEx(__UCLIBC_HAS_IPV6__)) || ((!definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_IPV6__) || definedEx(__UCLIBC_HAS_IPV4__) || !definedEx(__UCLIBC_HAS_THREADS__) || !definedEx(__UCLIBC_HAS_XLOCALE__) || !definedEx(__UCLIBC_HAS_LOCALE__)) && (!definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__) || !definedEx(__UCLIBC_HAS_XLOCALE__) || !definedEx(__UCLIBC_HAS_LOCALE__) || !definedEx(__UCLIBC_HAS_IPV4__))) || (((!definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__LINUXTHREADS_NEW__) && !definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS__)) || (definedEx(__LINUXTHREADS_OLD__) && !definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_THREADS__))) && (definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__LINUXTHREADS_NEW__) || !definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__)))),1
((!definedEx(__UCLIBC_HAS_IPV4__) && !definedEx(__UCLIBC_HAS_IPV6__)) || ((!definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__UCLIBC_HAS_IPV6__) || definedEx(__UCLIBC_HAS_IPV4__) || definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__) || !definedEx(__UCLIBC_HAS_XLOCALE__) || !definedEx(__UCLIBC_HAS_LOCALE__)) && (!definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__) || !definedEx(__UCLIBC_HAS_XLOCALE__) || !definedEx(__UCLIBC_HAS_LOCALE__) || !definedEx(__UCLIBC_HAS_IPV4__))) || (!definedEx(__LINUXTHREADS_OLD__) && definedEx(__UCLIBC_HAS_THREADS_NATIVE__) && definedEx(__UCLIBC_HAS_THREADS__) && (!definedEx(__UCLIBC_HAS_THREADS_NATIVE__) || !definedEx(__LINUXTHREADS_NEW__) || definedEx(__LINUXTHREADS_OLD__) || !definedEx(__UCLIBC_HAS_THREADS__)))),1
