Constraint, RelationshipType, Type, Parser, Linker, #error, Nested ifdef, file pc
__UCLIBC_HAS_FENV__ => __UCLIBC_HAS_FLOATS__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_THREADS_NATIVE__ <=> __UCLIBC_HAS_TLS__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_WORDEXP__ => __UCLIBC_HAS_GLOB__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_FLAT__ => !(__ARCH_USE_MMU__),output/FeatureModel/crosstree.constraints,,,,,,,
__USE_OLD_VFPRINTF__ => !(__UCLIBC_HAS_WCHAR__),output/FeatureModel/crosstree.constraints,1,,1,,,,
__DOPIC__ => !(__HAVE_NO_PIC__),output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_x86_64__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_SOCKET__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_CACHE_SUPPORT__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__ARCH_HAS_NO_LDSO__ <=> __ARCH_HAS_NO_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__DO_C99_MATH__ => __UCLIBC_HAS_FLOATS__,output/FeatureModel/crosstree.constraints,,,1,,,,
__CONFIG_CRIS__ => __ARCH_HAS_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_BUILD_PIE__ => __FORCE_SHAREABLE_TEXT_SEGMENTS__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_FDPIC_ELF__ => !(__ARCH_USE_MMU__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_THREADS_NATIVE__ => !(__CONFIG_386__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => __ARCH_HAS_NO_LDSO__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_STDIO_PUTC_MACRO__ => !(__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),output/FeatureModel/crosstree.constraints,1,,,,,,
__UCLIBC_HAS_SSP_COMPAT__ => __UCLIBC_HAS_SSP__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_REGEX_OLD__ => __UCLIBC_HAS_REGEX__,output/FeatureModel/crosstree.constraints,,,,,1,1,
__UCLIBC_HAS_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_UCLINUX_BROKEN_MUNMAP__ => !(__ARCH_USE_MMU__),output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_SEARCH_INTERP_PATH__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_HAS_LOCALE__,output/FeatureModel/crosstree.constraints,,,,,,,
__COMPILE_IN_THUMB_MODE__ => __USE_BX__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_STATIC_LDCONFIG__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__DODEBUG_PT__ => __UCLIBC_HAS_THREADS__,output/FeatureModel/crosstree.constraints,,,,,1,,
__MALLOC_STANDARD__ => __ARCH_USE_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_FLOATS__,output/FeatureModel/crosstree.constraints,1,,1,,,,
__ARCH_WANTS_LITTLE_ENDIAN__ => __ARCH_LITTLE_ENDIAN__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_frv__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_TZ_FILE_READ_MANY__ => __UCLIBC_HAS_TZ_FILE__,output/FeatureModel/crosstree.constraints,,,,,1,,
__UCLIBC_HAS_FNMATCH_OLD__ => __UCLIBC_HAS_FNMATCH__,output/FeatureModel/crosstree.constraints,,,,,1,1,
__HAVE_NO_SSP__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__ARCH_USE_MMU__ => __ARCH_HAS_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_SUPPORT_AI_ADDRCONFIG__ => __UCLIBC_USE_NETLINK__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_h8300__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_cris__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_m68k__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_sh64__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_LOCALE__,output/FeatureModel/crosstree.constraints,1,,,,,,
__UNIX98PTY_ONLY__ => __UCLIBC_HAS_PTY__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_CRYPT_STUB__ => !(__UCLIBC_HAS_CRYPT_IMPL__),output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_LD_LIBRARY_PATH__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_RUNPATH__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__CONFIG_AVR32_AP7__ => __ARCH_HAS_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_DSBT_ELF__ => __TARGET_c6x__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_mips__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __UCLIBC_HAS_LOCALE__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_avr32__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_i386__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_STDIO_BUFSIZ_NONE__ => !(__UCLIBC_HAS_WCHAR__),output/FeatureModel/crosstree.constraints,1,,,,,,
__UCLIBC_HAS_SYSLOG__ => __UCLIBC_HAS_SOCKET__,output/FeatureModel/crosstree.constraints,,,1,,,,
__UCLIBC_HAS_THREADS_NATIVE__ <=> __UCLIBC_HAS_STDIO_FUTEXES__,output/FeatureModel/crosstree.constraints,,,,,,,
__DODEBUG_PT__ => __LINUXTHREADS_OLD__,output/FeatureModel/crosstree.constraints,,,,,1,,
__UCLIBC_FORMAT_ELF__ => __ARCH_USE_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__DOSTRIP__ => !(__DODEBUG__),output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_LDD_SUPPORT__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__LINUXTHREADS_OLD__ => __UCLIBC_HAS_REALTIME__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_SHARED_FLAT__ => !(__ARCH_USE_MMU__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_BUILD_RELRO__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_FLAT__ => __ARCH_HAS_NO_LDSO__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_GNU_GLOB__ => __UCLIBC_HAS_GLOB__,output/FeatureModel/crosstree.constraints,,,,,,1,
