Constraint, RelationshipType, Type, Parser, Linker, #error, Nested ifdef, file pc
__ARCH_USE_MMU__ => __ARCH_HAS_MMU__,hierarchy,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => !(__UCLIBC_HAS_FPU__),hierarchy,,,,,,,
__DO_C99_MATH__ => __UCLIBC_HAS_FLOATS__,hierarchy,,,1,,,,
__DO_XSI_MATH__ => __UCLIBC_HAS_FLOATS__,hierarchy,,,1,,,1,
__UCLIBC_HAS_FENV__ => __UCLIBC_HAS_FLOATS__,hierarchy,,,,,,,
__LDSO_LDD_SUPPORT__ => __HAVE_SHARED__,hierarchy,,,,,,,
__LDSO_CACHE_SUPPORT__ => __HAVE_SHARED__,hierarchy,,,,,,,
__LDSO_PRELOAD_ENV_SUPPORT__ => __HAVE_SHARED__,hierarchy,,,,,,,
__LDSO_PRELOAD_FILE_SUPPORT__ => __HAVE_SHARED__,hierarchy,,,,,,,
__UCLIBC_STATIC_LDCONFIG__ => __HAVE_SHARED__,hierarchy,,,,,,,
__LDSO_RUNPATH__ => __HAVE_SHARED__,hierarchy,,,,,,,
__LDSO_SEARCH_INTERP_PATH__ => __HAVE_SHARED__,hierarchy,,,,,,,
__UCLIBC_HAS___PROGNAME__ => __UCLIBC_HAS_PROGRAM_INVOCATION_NAME__,hierarchy,,,,,,,
__ASSUME_DEVPTS__ => __UCLIBC_HAS_PTY__,hierarchy,,,,,,,
__UNIX98PTY_ONLY__ => __UCLIBC_HAS_PTY__,hierarchy,,,,,,,
__UCLIBC_HAS_TZ_FILE_READ_MANY__ => __UCLIBC_HAS_TZ_FILE__,hierarchy,,,,,1,,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ => __UCLIBC_HAS_TZ_FILE__,hierarchy,,,,,1,,
__UCLIBC_HAS_ADVANCED_REALTIME__ => __UCLIBC_HAS_REALTIME__,hierarchy,1,,,,,,
__UCLIBC_HAS_CRYPT_STUB__ => !(__UCLIBC_HAS_CRYPT_IMPL__),hierarchy,,,,,,,
__UCLIBC_HAS_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT__,hierarchy,,,,,,,
__UCLIBC_HAS_SOCKET__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_IPV6__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_FULL_RPC__ => __UCLIBC_HAS_RPC__,hierarchy,,,,,,1,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_RPC__,hierarchy,,,,,,,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_SUPPORT_AI_ADDRCONFIG__ => __UCLIBC_USE_NETLINK__,hierarchy,,,,,,,
__UCLIBC_HAS_BSD_RES_CLOSE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_COMPAT_RES_STATE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_EXTRA_COMPAT_RES_STATE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_LIBRESOLV_STUB__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_LIBNSL_STUB__ => __UCLIBC_HAS_NETWORK_SUPPORT__,hierarchy,,,,,,,
__UCLIBC_HAS_CTYPE_SIGNED__ => __UCLIBC_HAS_CTYPE_TABLES__,hierarchy,,,,,,,
__UCLIBC_HAS_CTYPE_UNSAFE__ => __UCLIBC_HAS_CTYPE_TABLES__,hierarchy,,,,,1,,
__UCLIBC_HAS_CTYPE_CHECKED__ => __UCLIBC_HAS_CTYPE_TABLES__,hierarchy,,,,,1,,
__UCLIBC_HAS_CTYPE_ENFORCED__ => __UCLIBC_HAS_CTYPE_TABLES__,hierarchy,,,,,,,
__UCLIBC_BUILD_ALL_LOCALE__ => __UCLIBC_HAS_LOCALE__,hierarchy,,,,,,,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __UCLIBC_HAS_LOCALE__,hierarchy,,,,,,,
__UCLIBC_PREGENERATED_LOCALE_DATA__ => __UCLIBC_HAS_LOCALE__,hierarchy,,,,,,,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_GLIBC_DIGIT_GROUPING__,hierarchy,,,,,,,
__UCLIBC_HAS_SYS_ERRLIST__ => __UCLIBC_HAS_ERRNO_MESSAGES__,hierarchy,,,,,,,
__UCLIBC_HAS_SYS_SIGLIST__ => __UCLIBC_HAS_SIGNUM_MESSAGES__,hierarchy,,,,,,,
__UCLIBC_HAS_REGEX_OLD__ => __UCLIBC_HAS_REGEX__,hierarchy,,,,,1,1,
__UCLIBC_HAS_FNMATCH_OLD__ => __UCLIBC_HAS_FNMATCH__,hierarchy,,,,,1,1,
__UCLIBC_HAS_GNU_GLOB__ => __UCLIBC_HAS_GLOB__,hierarchy,,,,,,1,
__UCLIBC_HAS_SSP_COMPAT__ => __UCLIBC_HAS_SSP__,hierarchy,,,,,,,
__SSP_QUICK_CANARY__ => __UCLIBC_HAS_SSP__,hierarchy,,,,,1,,
__PROPOLICE_BLOCK_ABRT__ => __UCLIBC_HAS_SSP__,hierarchy,,,,,,,
__PROPOLICE_BLOCK_SEGV__ => __UCLIBC_HAS_SSP__,hierarchy,,,,,,,
__UCLIBC_BUILD_SSP__ => __UCLIBC_HAS_SSP__,hierarchy,,,,,,,
Constraint, RelationshipType, Type, Parser, Linker, #error, Nested ifdef, file pc
__UCLIBC_HAS_FENV__ => __UCLIBC_HAS_FLOATS__,cross tree,,,,,,,
__UCLIBC_HAS_THREADS_NATIVE__ <=> __UCLIBC_HAS_TLS__,cross tree,,,,,,,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_HAS_WORDEXP__ => __UCLIBC_HAS_GLOB__,cross tree,,,,,,,
__UCLIBC_FORMAT_FLAT__ => !(__ARCH_USE_MMU__),cross tree,,,,,,,
__USE_OLD_VFPRINTF__ => !(__UCLIBC_HAS_WCHAR__),cross tree,,,1,,,,
__DOPIC__ => !(__HAVE_NO_PIC__),cross tree,,,,,,,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_SOCKET__,cross tree,,,,,,,
__LDSO_CACHE_SUPPORT__ => __HAVE_SHARED__,cross tree,,,,,,,
__ARCH_HAS_NO_LDSO__ <=> __ARCH_HAS_NO_SHARED__,cross tree,,,,,,,
__DO_C99_MATH__ => __UCLIBC_HAS_FLOATS__,cross tree,,,1,,,,
__CONFIG_CRIS__ => __ARCH_HAS_MMU__,cross tree,,,,,,,
__UCLIBC_BUILD_PIE__ => __FORCE_SHAREABLE_TEXT_SEGMENTS__,cross tree,,,,,,,
__UCLIBC_HAS_EXTRA_COMPAT_RES_STATE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_FORMAT_FDPIC_ELF__ => !(__ARCH_USE_MMU__),cross tree,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => __ARCH_HAS_NO_LDSO__,cross tree,,,,,,,
__UCLIBC_HAS_STDIO_PUTC_MACRO__ => !(__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),cross tree,1,,,,,,
__UCLIBC_HAS_SSP_COMPAT__ => __UCLIBC_HAS_SSP__,cross tree,,,,,,,
__UCLIBC_HAS_REGEX_OLD__ => __UCLIBC_HAS_REGEX__,cross tree,,,,,1,1,
__UCLIBC_HAS_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT__,cross tree,,,,,,,
__UCLIBC_UCLINUX_BROKEN_MUNMAP__ => !(__ARCH_USE_MMU__),cross tree,,,,,,,
__LDSO_SEARCH_INTERP_PATH__ => __HAVE_SHARED__,cross tree,,,,,,,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_HAS_LOCALE__,cross tree,,,,,,,
__UCLIBC_STATIC_LDCONFIG__ => __HAVE_SHARED__,cross tree,,,,,,,
__DODEBUG_PT__ => __UCLIBC_HAS_THREADS__,cross tree,,,,,1,,
__MALLOC_STANDARD__ => __ARCH_USE_MMU__,cross tree,,,,,,,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_FLOATS__,cross tree,1,,,,,,
__ARCH_WANTS_LITTLE_ENDIAN__ => __ARCH_LITTLE_ENDIAN__,cross tree,,,,,,,
__UCLIBC_HAS_TZ_FILE_READ_MANY__ => __UCLIBC_HAS_TZ_FILE__,cross tree,,,,,1,,
__UCLIBC_HAS_FNMATCH_OLD__ => __UCLIBC_HAS_FNMATCH__,cross tree,,,,,1,1,
__HAVE_NO_SSP__ => __FORCE_OPTIONS_FOR_ARCH__,cross tree,,,,,,,
__ARCH_USE_MMU__ => __ARCH_HAS_MMU__,cross tree,,,,,,,
__UCLIBC_SUPPORT_AI_ADDRCONFIG__ => __UCLIBC_USE_NETLINK__,cross tree,,,,,,,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_LOCALE__,cross tree,1,,,,,,
__UNIX98PTY_ONLY__ => __UCLIBC_HAS_PTY__,cross tree,,,,,,,
__UCLIBC_HAS_RPC__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_HAS_CRYPT_STUB__ => !(__UCLIBC_HAS_CRYPT_IMPL__),cross tree,,,,,,,
__LDSO_RUNPATH__ => __HAVE_SHARED__,cross tree,,,,,,,
__CONFIG_AVR32_AP7__ => __ARCH_HAS_MMU__,cross tree,,,,,,,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __UCLIBC_HAS_LOCALE__,cross tree,,,,,,,
__UCLIBC_HAS_FULL_RPC__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_HAS_STDIO_BUFSIZ_NONE__ => !(__UCLIBC_HAS_WCHAR__),cross tree,1,,,,,,
__UCLIBC_HAS_SYSLOG__ => __UCLIBC_HAS_SOCKET__,cross tree,,,1,,,,
__UCLIBC_HAS_THREADS_NATIVE__ <=> __UCLIBC_HAS_STDIO_FUTEXES__,cross tree,,,,,,,
__DODEBUG_PT__ => __LINUXTHREADS_OLD__,cross tree,,,,,1,,
__UCLIBC_FORMAT_ELF__ => __ARCH_USE_MMU__,cross tree,,,,,,,
__DOSTRIP__ => !(__DODEBUG__),cross tree,,,,,,,
__LDSO_LDD_SUPPORT__ => __HAVE_SHARED__,cross tree,,,,,,,
__LINUXTHREADS_OLD__ => __UCLIBC_HAS_REALTIME__,cross tree,1,,1,,,,
__UCLIBC_FORMAT_SHARED_FLAT__ => !(__ARCH_USE_MMU__),cross tree,,,,,,,
__UCLIBC_BUILD_RELRO__ => __HAVE_SHARED__,cross tree,,,,,,,
__UCLIBC_FORMAT_FLAT__ => __ARCH_HAS_NO_LDSO__,cross tree,,,,,,,
__UCLIBC_HAS_GNU_GLOB__ => __UCLIBC_HAS_GLOB__,cross tree,,,,,,1,
__ARCH_HAS_NO_MMU__ => __FORCE_OPTIONS_FOR_ARCH__,cross tree,,,,,,,
__ARCH_HAS_MMU__ => !(__ARCH_HAS_NO_MMU__),cross tree,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => !(__ARCH_USE_MMU__),cross tree,,,,,,,
__UCLIBC_HAS_SYSLOG__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__SSP_QUICK_CANARY__ => __UCLIBC_HAS_SSP__,cross tree,,,,,1,,
__CONFIG_SH5__ => __UCLIBC_HAS_LFS__,cross tree,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => __UCLIBC_HAS_FLOATS__,cross tree,,,,,,,
__UCLIBC_HAS_GETOPT_LONG__ => !(__UCLIBC_HAS_GNU_GETOPT__),cross tree,,,,,1,,
__UCLIBC_HAS_STDIO_GETC_MACRO__ => !(__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),cross tree,1,,,,,,
__UCLIBC_HAS_LIBRESOLV_STUB__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__CONFIG_CRISV32__ => __ARCH_HAS_MMU__,cross tree,,,,,,,
__UCLIBC_HAS_SYS_ERRLIST__ => __UCLIBC_HAS_ERRNO_MESSAGES__,cross tree,,,,,,,
__UCLIBC_HAS_ADVANCED_REALTIME__ => __UCLIBC_HAS_REALTIME__,cross tree,1,,,,,,
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_FLOATS__,cross tree,,,,,,,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_HAS_TLS__ <=> __UCLIBC_HAS_THREADS_NATIVE__,cross tree,,,,,,,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_MJN3_ONLY__,cross tree,,,,,,,
__UCLIBC_HAS_FTW__ => __UCLIBC_SUSV4_LEGACY__,cross tree,,,,,,,
__UCLIBC_PREGENERATED_LOCALE_DATA__ => __UCLIBC_HAS_LOCALE__,cross tree,,,,,,,
__UCLIBC_HAS_IPV6__ => __UCLIBC_HAS_SOCKET__,cross tree,,,1,,,,
__UCLIBC_HAS_LIBNSL_STUB__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_HAS_SOCKET__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_FORMAT_SHARED_FLAT__ => __ARCH_HAS_NO_LDSO__,cross tree,,,,,,,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_RPC__,cross tree,,,,,,,
__UCLIBC_HAS_LONG_DOUBLE_MATH__ => __DO_C99_MATH__,cross tree,,,,,,,
__CONFIG_SH3__ => __ARCH_HAS_MMU__,cross tree,,,,,,,
__DO_XSI_MATH__ => __UCLIBC_HAS_FLOATS__,cross tree,,,1,,,1,
__UCLIBC_HAS_LOCALE__ => __UCLIBC_HAS_CTYPE_TABLES__,cross tree,1,,1,,,,
__UCLIBC_HAS_GLOB__ => __UCLIBC_HAS_FNMATCH__,cross tree,,,,,,,
__ARCH_WANTS_BIG_ENDIAN__ => __ARCH_BIG_ENDIAN__,cross tree,,,,,,,
__UCLIBC_HAS_FULL_RPC__ => __UCLIBC_HAS_RPC__,cross tree,,,,,,1,
__UCLIBC_HAS_THREADS__ => !(__HAS_NO_THREADS__),cross tree,,,,,,,
__UCLIBC_HAS___PROGNAME__ => __UCLIBC_HAS_PROGRAM_INVOCATION_NAME__,cross tree,,,,,,,
__SUPPORT_LD_DEBUG_EARLY__ => __HAVE_SHARED__,cross tree,,,,,,,
__HAVE_NO_PIC__ => __FORCE_OPTIONS_FOR_ARCH__,cross tree,,,,,,,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ => __UCLIBC_HAS_TZ_FILE__,cross tree,,,,,1,,
__PTHREADS_DEBUG_SUPPORT__ => __UCLIBC_HAS_THREADS__,cross tree,1,,,,1,1,
__LDSO_PRELOAD_FILE_SUPPORT__ => __HAVE_SHARED__,cross tree,,,,,,,
__UCLIBC_HAS_SSP__ => !(__HAVE_NO_SSP__),cross tree,,,,,,,
__ARCH_ANY_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,cross tree,,,,,,,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_GLIBC_DIGIT_GROUPING__,cross tree,,,,,,,
__DODEBUG__ => __EXTRA_WARNINGS__,cross tree,,,,,,,
__LDSO_PRELOAD_ENV_SUPPORT__ => __HAVE_SHARED__,cross tree,,,,,,,
__UCLIBC_HAS_FOPEN_LARGEFILE_MODE__ => __UCLIBC_HAS_LFS__,cross tree,,,,,1,,
__UCLIBC_HAS_SYS_SIGLIST__ => __UCLIBC_HAS_SIGNUM_MESSAGES__,cross tree,,,,,,,
__CONFIG_SH2A__ => __HAVE_NO_PIC__,cross tree,,,,,,,
__UCLIBC_HAS_BACKTRACE__ => __HAVE_SHARED__,cross tree,,,,,,,
__UCLIBC_HAS_LOCALE__ => __UCLIBC_HAS_WCHAR__,cross tree,1,,1,1,,,
__UCLIBC_HAS_LIBUTIL__ => __UCLIBC_HAS_PTY__,cross tree,,,,,,,
__UCLIBC_HAS_CTYPE_SIGNED__ => __UCLIBC_HAS_CTYPE_TABLES__,cross tree,,,,,,,
__UCLIBC_HAS_STDIO_FUTEXES__ <=> __UCLIBC_HAS_THREADS_NATIVE__,cross tree,,,,,,,
__UCLIBC_SUPPORT_AI_ADDRCONFIG__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__ASSUME_DEVPTS__ => __UCLIBC_HAS_PTY__,cross tree,,,,,,,
__CONFIG_SH2A__ => __ARCH_HAS_NO_MMU__,cross tree,,,,,,,
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_CTYPE_TABLES__,cross tree,,,,,,,
__UCLIBC_HAS_COMPAT_RES_STATE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_HAS_XLOCALE__ => __UCLIBC_HAS_LOCALE__,cross tree,1,,1,1,,,
__UCLIBC_BUILD_NOW__ => __HAVE_SHARED__,cross tree,,,,,,,
__UCLIBC_BUILD_SSP__ => __UCLIBC_HAS_SSP__,cross tree,,,,,,,
__UCLIBC_HAS_IPV6__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_FORMAT_FDPIC_ELF__ => __DOPIC__,cross tree,,,,,,,
__UCLIBC_HAS_BSD_RES_CLOSE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__UCLIBC_DOWNLOAD_PREGENERATED_LOCALE_DATA__ => __UCLIBC_PREGENERATED_LOCALE_DATA__,cross tree,,,,,,,
__UCLIBC_BUILD_PIE__ => __HAVE_SHARED__,cross tree,,,,,,,
__HAVE_SHARED__ => !(__ARCH_HAS_NO_SHARED__),cross tree,,,,,,,
__CONFIG_SH5__ => __ARCH_HAS_MMU__,cross tree,,,,,,,
__CONFIG_SH2__ => __ARCH_HAS_NO_MMU__,cross tree,,,,,,,
__LDSO_GNU_HASH_SUPPORT__ => __HAVE_SHARED__,cross tree,,,,,,,
__UCLIBC_HAS_GLIBC_CUSTOM_PRINTF__ => !(__USE_OLD_VFPRINTF__),cross tree,,,,,,,
__UCLIBC_HAS_CRYPT_STUB__ => __UCLIBC_HAS_CRYPT__,cross tree,,,,,1,1,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_NETWORK_SUPPORT__,cross tree,,,,,,,
__ARCH_BIG_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,cross tree,,,,,,,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_SOCKET__,cross tree,,,1,,,,
