Constraint, #error, Parser, Type, Linker, Spec1Added, FeatureEffect, FeatureEffect_Build, Spec2Added, CodeAdded, Spec1Combined, Spec2Combined, CodeCombined
__UCLIBC_HAS_FENV__ => __UCLIBC_HAS_FLOATS__,,,,,,,,,,,,,
__UCLIBC_HAS_THREADS_NATIVE__ <=> __UCLIBC_HAS_TLS__,,,,,,,,,,,,,
__UCLIBC_HAS_WORDEXP__ => __UCLIBC_HAS_GLOB__,,,,,,,,,,,,,
__USE_OLD_VFPRINTF__ => ! (__UCLIBC_HAS_WCHAR__),,,,1,1,,,,1,1,,1,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_SOCKET__,,,,,,,,,,,,1,
__ARCH_HAS_NO_LDSO__ <=> __ARCH_HAS_NO_SHARED__,,,,,,,,,,,,,
__DO_C99_MATH__ => __UCLIBC_HAS_FLOATS__,,,,1,1,1,1,1,1,1,1,1,
__UCLIBC_BUILD_PIE__ => __FORCE_SHAREABLE_TEXT_SEGMENTS__,,,,,,,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => __ARCH_HAS_NO_LDSO__,,,,,,,,,,,,,
__UCLIBC_HAS_STDIO_PUTC_MACRO__ => ! (__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),,,1,,1,,,,1,1,,1,
__UCLIBC_UCLINUX_BROKEN_MUNMAP__ => ! (__ARCH_USE_MMU__),,,,,,,,,,,,,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_HAS_LOCALE__,,,,,,,,,,,,,
__DODEBUG_PT__ => __UCLIBC_HAS_THREADS__,,,,,,1,,1,1,,1,1,
__MALLOC_STANDARD__ => __ARCH_USE_MMU__,,,,,,,,,,,,,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_FLOATS__,,,1,1,1,,,,1,1,,1,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_LOCALE__,,,1,,1,,,,1,1,,1,
__UCLIBC_HAS_STDIO_BUFSIZ_NONE__ => ! (__UCLIBC_HAS_WCHAR__),,,1,1,1,,,,1,1,,1,
__UCLIBC_HAS_SYSLOG__ => __UCLIBC_HAS_SOCKET__,,,,1,1,,,,1,1,,1,
__UCLIBC_HAS_THREADS_NATIVE__ <=> __UCLIBC_HAS_STDIO_FUTEXES__,,,,,,,,,,,,,
__DODEBUG_PT__ => __LINUXTHREADS_OLD__,,,,,,1,,1,1,,1,1,
__DOSTRIP__ => ! (__DODEBUG__),,,,,,,,,,,,,
__LINUXTHREADS_OLD__ => __UCLIBC_HAS_REALTIME__,,,,,,,,,,,,,
__UCLIBC_FORMAT_SHARED_FLAT__ => ! (__ARCH_USE_MMU__),,,,,,,,,,,,,
__UCLIBC_BUILD_RELRO__ => __HAVE_SHARED__,,,,,,,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => ! (__ARCH_USE_MMU__),,,,,,,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => __UCLIBC_HAS_FLOATS__,,,,,,,,,,,,,
__UCLIBC_HAS_GETOPT_LONG__ => ! (__UCLIBC_HAS_GNU_GETOPT__),,,,,,1,,1,1,,1,1,
__UCLIBC_HAS_STDIO_GETC_MACRO__ => ! (__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),,,1,,1,,,,1,1,,1,
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_FLOATS__,,,,,,,,,,1,,1,
