in individual
loaded all graphs
Implication, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Errors Model,Parsing Errors Model,
__UCLIBC_HAS_FNMATCH_OLD__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_avr32__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SSP__,0,0,0,0,0,
__UCLIBC_FORMAT_SHARED_FLAT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_BUILD_SSP__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_PRINTF_SCANF_POSITIONAL_ARGS__,0,0,0,0,0,
__UCLIBC_NTP_LEGACY__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__FORCE_SHAREABLE_TEXT_SEGMENTS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_ARM_EABI__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__HAVE_NO_SSP__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_486__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_BASE_FILENAME__,0,0,0,0,0,
__LDSO_PRELINK_SUPPORT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_MIPS_ISA_MIPS32__,0,0,0,0,0,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_HAS_LOCALE__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__LDSO_GNU_HASH_SUPPORT__ => __HAVE_SHARED__,0,0,0,0,0,
__TARGET_ia64__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__TARGET_e1__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_MIPS_N64_ABI__,0,0,0,0,0,
__UCLIBC_SHARED_FLAT_ID__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_CRISV32__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__ARCH_BIG_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__DODEBUG_PT__ => __UCLIBC_HAS_REALTIME__,0,0,0,0,0,
__UCLIBC_PREGENERATED_LOCALE_DATA__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_i960__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__TARGET_vax__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_HAS_TM_EXTENSIONS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ => __TARGET_mips__,0,0,0,0,0,
__ARCH_HAS_NO_LDSO__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_LD_LIBRARY_PATH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_frv__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __ARCH_WANTS_BIG_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_SH3__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
