in individual
Mutex Edge, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Model,Parsing Errors Model,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_STDIO_BUILTIN_BUFFER_NONE__,0,0,0,0,0,
__CONFIG_686__ -- __LINKRELAX__,0,0,0,0,0,
__CONFIG_SH2__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__CONFIG_H8S__ -- __TARGET_frv__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_SPARC_V9B__,0,0,0,0,0,
__CONFIG_H8300H__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_TM_EXTENSIONS__,0,0,0,0,0,
__CONFIG_H8300H__ -- __CONFIG_WINCHIPC6__,0,0,0,0,0,
__TARGET_hppa__ -- __TARGET_vax__,0,0,0,0,0,
__ARCH_ANY_ENDIAN__ -- __TARGET_avr32__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_IPV6__,0,0,0,0,0,
__CONFIG_K6__ -- __TARGET_v850__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_MIPS_N32_ABI__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __UCLIBC_LINUX_MODULE_24__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_FLOATS__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_SH5__,0,0,0,0,0,
__ARCH_WANTS_LITTLE_ENDIAN__ -- __CONFIG_NEHEMIAH__,0,0,0,0,0,
__CONFIG_K7__ -- __CONFIG_NEHEMIAH__,0,0,0,0,0,
__TARGET_bfin__ -- __USE_BX__,0,0,0,0,0,
__ARCH_HAS_NO_SHARED__ -- __HAVE_SHARED__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_MIPS_ISA_3__,0,0,0,0,0,
__CONFIG_CRIS__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_i960__,0,0,0,0,0,
__TARGET_avr32__ -- __TARGET_bfin__,0,0,0,0,0,
__CONFIG_ELAN__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_SPARC_V9B__ -- __HAVE_NO_PIC__,0,0,0,0,0,
__CONFIG_686__ -- __TARGET_nios2__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_MIPS_ISA_2__,0,0,0,0,0,
__CONFIG_SH2A__ -- __CONFIG_SH4__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __USE_BX__,0,0,0,0,0,
__ARCH_HAS_NO_LDSO__ -- __UCLIBC_BUILD_NOW__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __TARGET_mips__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_CTYPE_UNSAFE__,0,0,0,0,0,
__TARGET_sparc__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__HAVE_SHARED__ -- __TARGET_v850__,0,0,0,0,0,
__TARGET_ia64__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__LDSO_LDD_SUPPORT__ -- __TARGET_e1__,0,0,0,0,0,
__CONFIG_SH2__ -- __LDSO_LDD_SUPPORT__,0,0,0,0,0,
__CONFIG_586__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__TARGET_bfin__ -- __UCLIBC_LINUX_MODULE_24__,0,0,0,0,0,
__LDSO_LDD_SUPPORT__ -- __TARGET_alpha__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_E500__ -- __CONFIG_MIPS_ISA_3__,0,0,0,0,0,
__CONFIG_GENERIC_386__ -- __CONFIG_WINCHIP2__,0,0,0,0,0,
__TARGET_bfin__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __CONFIG_CRUSOE__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ -- __CONFIG_MIPS_O32_ABI__,0,0,0,0,0,
__CONFIG_SH4__ -- __CONFIG_WINCHIP2__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ -- __TARGET_i960__,0,0,0,0,0,
__ARCH_LITTLE_ENDIAN__ -- __CONFIG_CLASSIC__,0,0,0,0,0,
__ARCH_WANTS_LITTLE_ENDIAN__ -- __CONFIG_SPARC_V8__,0,0,0,0,0,
__ARCH_ANY_ENDIAN__ -- __CONFIG_386__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __UCLIBC_HAS_BACKTRACE__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_E500__ -- __TARGET_cris__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__LDSO_LD_LIBRARY_PATH__ -- __TARGET_i960__,0,0,0,0,0,
__CONFIG_GENERIC_386__ -- __USE_BX__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_586__ -- __CONFIG_ARM_EABI__,0,0,0,0,0,
__TARGET_x86_64__ -- __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_H8300H__ -- __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_K7__ -- __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__TARGET_sparc__ -- __USE_BX__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __CONFIG_MIPS_ISA_2__,0,0,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ -- __CONFIG_CRUSOE__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __CONFIG_H8300H__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_m68k__,0,0,0,0,0,
__HAVE_NO_SSP__ -- __UCLIBC_HAS_TLS__,0,0,0,0,0,
